参数名,分类
--use-original-message-for-stack-trace,Generic
--histogram-interval,GC/Memory
--heap-profiler-trace-objects,Print
--heap-profiler-use-embedder-graph,Generic
--heap-snapshot-on-oom,Print
--heap-snapshot-path,Print
--heap-snapshot-on-gc,Print
--heap-snapshot-string-limit,Print
--heap-profiler-show-hidden-objects,Print
--profile-heap-snapshot,Print
--heap-snapshot-verify,Trace/Debug
--sampling-heap-profiler-suppress-randomness,Testing/Fuzzing
--log-ic,Print
--fast-map-update,Optimization
--max-valid-polymorphic-map-count,Optimization
--clone-object-sidestep-transitions,Optimization
--fast-properties-soft-limit,Optimization
--max-fast-properties,Optimization
--native-code-counters,Print
--sparkplug-plus,Sparkplug
--super-ic,Optimization
--mega-dom-ic,Optimization
--trace-prototype-users,Trace/Debug
--trace-for-in-enumerate,Trace/Debug
--log-maps,Print
--log-maps-details,Print
--move-prototype-transitions-first,Optimization
--allow-natives-syntax,Generic
--allow-natives-for-differential-fuzzing,Testing/Fuzzing
--parse-only,Compiler/Tier Manager
--enable-parser-ablation,Testing/Fuzzing
--enable-preparser-ablation,Testing/Fuzzing
--enable-bytecode-compiler-ablation,Testing/Fuzzing
--parser-ablation-amount,Testing/Fuzzing
--preparser-ablation-amount,Testing/Fuzzing
--bytecode-compiler-ablation-amount,Testing/Fuzzing
--async-stack-traces,Generic
--stack-trace-on-illegal,Print
--abort-on-uncaught-exception,Generic
--correctness-fuzzer-suppressions,Testing/Fuzzing
--rehash-snapshot,Compiler/Tier Manager
--hash-seed,Generic
--random-seed,Generic
--fuzzer-random-seed,Testing/Fuzzing
--hashes-collide,Testing/Fuzzing
--trace-rail,Trace/Debug
--print-all-exceptions,Print
--detailed-error-stack-trace,Print
--adjust-os-scheduling-parameters,Generic
--experimental-flush-embedded-blob-icache,Testing/Fuzzing
--short-builtin-calls,Optimization
--trace-code-range-allocation,Compiler/Tier Manager
--better-code-range-allocation,Compiler/Tier Manager
--abort-on-far-code-range,Compiler/Tier Manager
--runtime-call-stats,Print
--rcs,Print
--rcs-cpu-time,Print
--verify-snapshot-checksum,Compiler/Tier Manager
--profile-deserialization,Print
--trace-deserialization,Compiler/Tier Manager
--serialization-statistics,Compiler/Tier Manager
--regexp-optimization,Optimization
--regexp-interpret-all,Optimization
--regexp-tier-up,Compiler/Tier Manager
--regexp-tier-up-ticks,Compiler/Tier Manager
--regexp-peephole-optimization,Optimization
--regexp-results-cache,Optimization
--regexp-assemble-from-bytecode,Compiler/Tier Manager
--trace-regexp-peephole-optimization,Trace/Debug
--trace-regexp-bytecodes,Trace/Debug
--trace-regexp-assembler,Trace/Debug
--trace-regexp-parser,Trace/Debug
--trace-regexp-tier-up,Compiler/Tier Manager
--trace-regexp-graph,Trace/Debug
--enable-experimental-regexp-engine,Language mode/features
--default-to-experimental-regexp-engine,Language mode/features
--experimental-regexp-engine-capture-group-opt,Language mode/features
--experimental-regexp-engine-capture-group-opt-max-memory-usage,Language mode/features
--trace-experimental-regexp-engine,Language mode/features
--enable-experimental-regexp-engine-on-excessive-backtracks,Language mode/features
--regexp-backtracks-before-fallback,Language mode/features
--regexp-simd,Optimization
--trace-read-only-promotion,GC/Memory
--trace-read-only-promotion-verbose,GC/Memory
--testing-bool-flag,Testing/Fuzzing
--testing-maybe-bool-flag,Testing/Fuzzing
--testing-int-flag,Testing/Fuzzing
--testing-float-flag,Testing/Fuzzing
--testing-string-flag,Testing/Fuzzing
--testing-prng-seed,Testing/Fuzzing
--strict-termination-checks,Testing/Fuzzing
--fuzzing,Testing/Fuzzing
--hole-fuzzing,Testing/Fuzzing
--sandbox-testing,Testing/Fuzzing
--sandbox-fuzzing,Testing/Fuzzing
--expose-memory-corruption-api,Testing/Fuzzing
--freeze-flags-after-init,Generic
--cet-compatible,Generic
--embedded-src,Compiler/Tier Manager
--embedded-variant,Compiler/Tier Manager
--startup-src,Compiler/Tier Manager
--startup-blob,Compiler/Tier Manager
--target-arch,Compiler/Tier Manager
--target-os,Compiler/Tier Manager
--target-is-simulator,Compiler/Tier Manager
--turbo-profiling-input,Compiler/Tier Manager
--turbo-log-builtins-count-input,Compiler/Tier Manager
--text-is-readable,Generic
--trace-minor-ms-parallel-marking,GC/Memory
--minor-ms,GC/Memory
--concurrent-minor-ms-marking,GC/Memory
--black-allocated-pages,GC/Memory
--sticky-mark-bits,GC/Memory
--minor-ms-min-new-space-capacity-for-concurrent-marking-mb,GC/Memory
--minor-ms-concurrent-marking-trigger,GC/Memory
--minor-ms-min-lab-size-kb,GC/Memory
--handle-weak-ref-weakly-in-minor-gc,GC/Memory
--help,Print
--print-flag-values,Print
--print-feature-flags-json,Print
--slow-histograms,Testing/Fuzzing
--use-external-strings,Data
--map-counters,Print
--mock-arraybuffer-allocator,Testing/Fuzzing
--mock-arraybuffer-allocator-limit,Testing/Fuzzing
--multi-mapped-mock-allocator,Testing/Fuzzing
--gdbjit,Print
--gdbjit-full,Print
--gdbjit-dump,Print
--gdbjit-dump-filter,Print
--enable-slow-asserts,Testing/Fuzzing
--print-ast,Print
--print-scopes,Print
--trace-contexts,Trace/Debug
--gc-verbose,GC/Memory
--code-stats,Print
--print-handles,Print
--check-handle-count,Trace/Debug
--print-global-handles,Print
--trace-turbo-escape,Turbofan
--trace-module-status,Trace/Debug
--trace-normalization,Trace/Debug
--trace-lazy,Compiler/Tier Manager
--trace-isolates,Trace/Debug
--regexp-possessive-quantifier,Testing/Fuzzing
--print-break-location,Print
--logfile,Print
--logfile-per-isolate,Print
--log,Print
--log-all,Print
--log-internal-timer-events,Print
--log-timer-events,Print
--log-source-code,Print
--log-source-position,Print
--log-code,Print
--log-feedback-vector,Print
--log-code-disassemble,Print
--log-function-events,Print
--detailed-line-info,Print
--prof-include-idle,Print
--perfetto-code-logger,Print
--prof-sampling-interval,Print
--prof-cpp,Print
--prof-browser-mode,Print
--prof,Print
--ll-prof,Print
--perf-basic-prof,Print
--perf-basic-prof-path,Print
--perf-basic-prof-only-functions,Print
--perf-prof,Print
--perf-prof-path,Print
--perf-prof-annotate-wasm,Print
--perf-prof-delete-file,Testing/Fuzzing
--perf-prof-unwinding-info,Print
--gc-fake-mmap,Print
--redirect-code-traces,Print
--redirect-code-traces-to,Print
--print-opt-source,Print
--vtune-prof-annotate-wasm,Print
--win64-unwinding-info,Print
--interpreted-frames-native-stack,Print
--enable-etw-stack-walking,Print
--etw-trace-debug,Print
--enable-etw-by-custom-filter-only,Print
--print-builtin-size,Print
--trace-elements-transitions,Trace/Debug
--trace-creation-allocation-sites,Trace/Debug
--print-code,Print
--print-opt-code,Print
--print-opt-code-filter,Print
--print-code-verbose,Print
--print-builtin-code,Print
--print-builtin-code-filter,Print
--print-regexp-code,Print
--print-regexp-bytecode,Print
--print-all-code,Print
--predictable,Generic
--predictable-gc-schedule,Generic
--single-threaded,Generic
--single-threaded-gc,GC/Memory
--single-threaded-gc-in-background,GC/Memory
--parallel-pause-for-gc-in-background,GC/Memory
--incremental-marking-for-gc-in-background,GC/Memory
--shared-heap,GC/Memory
--proto-assign-seq-opt,Optimization
--use-libm-trig-functions,Optimization
--is-standalone-d8-shell,Generic
--disallow-unsafe-flags,Generic
--verify-predictable,Testing/Fuzzing
--dump-allocations-digest-at-alloc,Testing/Fuzzing
